Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,234.6764,235.3263,4,1,0.6477,,19,8,198,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,235.3266,235.76,2,0,0.4308,,19,9,199,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,235.7705,236.5094,2,1,0.7379,,,,,,,1,M,,2,0,0,0,0,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,236.51,237.1596,3,1,0.6476,,,,,,,2,R,,3,0,1,1,1,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,237.1599,237.5768,2,0,0.4071,,,,,,,7,R,,3,0,2,2,6,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,237.5773,238.4589,1,1,0.8716,,,,,,,10,I,,1,0,3,3,9,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,238.4592,238.9598,2,1,0.4941,,,,,,,8,M,,2,0,4,4,7,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,238.9601,239.676,1,1,0.715,,,,,,,6,I,,1,0,5,5,5,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,239.6763,240.2099,1,1,0.5255,,,,,,,5,I,,1,0,6,6,4,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,240.2102,240.8757,4,1,0.6639,,,,,,,9,L,,4,0,7,7,8,1,,
